date,location_code,location_name,team,is_completed,completed_by,completion_time,is_verified,verified_by
2025-09-17,XR-01,X光室一號,XR,0,,,0,
2025-09-17,US-01,超音波室一號,US,0,,,0,
2025-09-17,AE-01,急診室走廊,AE,0,,,0,
2025-09-17,CT-01,電腦斷層室,CT,0,,,0,
2025-09-17,XR-02,X光室二號,XR,0,,,0,
2025-09-17,AE-02,急診室病房A,AE,0,,,0,
2025-09-17,CT-02,電腦斷層控制室,CT,0,,,0,
2025-09-17,ANG-02,血管攝影恢復區,ANG,0,,,0,
2025-09-17,XR-03,X光室等候區,XR,0,,,0,
2025-09-17,US-02,超音波室二號,US,0,,,0,
2025-09-17,AE-03,急診室護理站,AE,0,,,0,
2025-09-17,MRI-03,磁力共振等候區,MRI,0,,,0,
2025-09-17,GEN-01,公共洗手間A,AE,0,,,0,
2025-09-17,GEN-02,員工休息室,AE,0,,,0,
